"특성별(1)",특성별(2),2016,2016,2016,2016,2016,2018,2018,2018,2018,2018,2020,2020,2020,2020,2020,2022,2022,2022,2022,2022
"특성별(1)",특성별(2),전체(사례수) (명),거의 매일 (%),일주일에 1~2번 (%),한 달에 1~2번 (%),전혀 없음 (%),전체(사례수) (명),거의 매일 (%),일주일에 1~2번 (%),한 달에 1~2번 (%),전혀 없음 (%),전체(사례수) (명),거의 매일 (%),일주일에 1~2번 (%),한 달에 1~2번 (%),전혀 없음 (%),전체(사례수) (명),거의 매일 (%),일주일에 1~2번 (%),한 달에 1~2번 (%),전혀 없음 (%)
"전체",소계,11146,2.7,8.7,31.1,57.6,15634,3.3,10.9,27.7,58.1,14379,3.9,11.3,27.5,57.3,17073,6.2,14.8,29.1,49.9
"성별",남자,5822,2.5,9.0,32.0,56.5,8114,3.2,11.8,28.4,56.7,7458,3.6,11.7,27.7,57.0,8817,5.9,15.7,29.3,49.2
"성별",여자,5324,2.9,8.3,30.1,58.7,7520,3.5,10.0,26.9,59.6,6922,4.3,10.9,27.2,57.6,8256,6.6,13.8,28.9,50.7
"남녀공학별",남학교,1995,3.1,9.6,33.2,54.1,2053,4.4,13.9,32.7,49.1,1539,5.1,15.6,34.6,44.6,1563,7.8,20.2,34.4,37.6
"남녀공학별",여학교,1726,3.0,8.8,31.2,57.0,1832,5.2,12.2,31.5,51.1,1724,6.3,14.6,33.4,45.8,1353,9.5,16.5,33.2,40.8
"남녀공학별",남녀공학,7425,2.5,8.4,30.5,58.7,11749,2.8,10.2,26.2,60.8,11117,3.4,10.2,25.5,60.8,14157,5.7,14.0,28.1,52.1
"학교급별",초등학교 ,-,-,-,-,-,4731,1.2,6.0,18.8,74.0,4785,1.3,5.6,17.6,75.5,5763,2.1,8.2,19.3,70.4
"학교급별",초등(5~6학년),-,-,-,-,-,3170,1.4,6.0,20.8,71.8,3260,1.4,6.0,18.4,74.2,3887,2.5,8.9,21.8,66.8
"학교급별",중학교,5242,1.7,7.1,29.1,62.1,4940,2.7,11.0,30.5,55.8,4601,3.1,10.7,30.6,55.6,5782,6.0,15.5,33.5,45.0
"학교급별",고등학교,5904,3.6,10.0,32.8,53.6,5964,5.6,14.7,32.4,47.4,4993,7.2,17.4,34.0,41.4,5528,10.8,20.8,34.7,33.6
"고교유형별",일반/특목/자율,4852,3.8,10.4,32.8,53.0,4930,6.1,15.3,31.9,46.8,4140,7.8,18.2,34.4,39.7,4619,11.6,21.3,34.4,32.6
"고교유형별",특성화/마이스터고,1052,2.6,8.2,32.8,56.4,1033,3.1,12.1,34.7,50.1,854,4.2,13.9,32.3,49.7,910,6.7,18.1,36.4,38.7
